page_url,section,claim,claim_type,risk_level,source_url,source_type,date_source_published,date_last_verified,visible_on_page,structured_data_matches,owner,action,status,notes
https://swing.appmiweb.com/,Hero,"Swing Digital conçoit des espaces augmentés et des expériences immersives mêlant spectacle vivant, réalité mixte, création sonore et narration transmédia.",entity_description,low,https://swing.appmiweb.com/,site_content,unknown,2026-06-20,yes,yes,Swing Digital,review_before_prod,verified_local,"Description visible sur l'accueil et reprise dans les données structurées."
https://swing.appmiweb.com/reservations.html,Toulouse-Lautrec,"L'expérience Toulouse-Lautrec dure 1 heure.",product_fact,medium,https://swing.appmiweb.com/reservations.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,confirm_before_ticketing,needs_owner_review,"Durée visible sur la page Réservations et dans la FAQ."
https://swing.appmiweb.com/reservations.html,Toulouse-Lautrec,"Tarifs Toulouse-Lautrec : plein tarif 29 EUR, 8-17 ans 19 EUR, tarif PMR 19 EUR.",pricing,medium,https://swing.appmiweb.com/reservations.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,confirm_before_ticketing,needs_owner_review,"Prix visibles mais à valider avant ouverture de la billetterie."
https://swing.appmiweb.com/reservations.html,Toulouse-Lautrec,"L'expérience Toulouse-Lautrec est proposée en français et en anglais.",product_fact,low,https://swing.appmiweb.com/reservations.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,confirm_before_ticketing,needs_owner_review,"Langues visibles dans la fiche."
https://swing.appmiweb.com/reservations.html,Charlotte Henschel,"L'expérience Charlotte Henschel est annoncée comme ouverture prochainement.",availability,low,https://swing.appmiweb.com/reservations.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,review_before_prod,verified_local,"Statut visible et non évaluatif."
https://swing.appmiweb.com/reservations.html,Informations pratiques,"Les petits groupes sont limités à 10 personnes maximum.",product_fact,medium,https://swing.appmiweb.com/reservations.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,confirm_before_ticketing,needs_owner_review,"Présent dans les informations pratiques et les visites privées."
https://swing.appmiweb.com/reservations.html,FAQ,"La modification est gratuite jusqu'à 24h avant la visite.",policy,medium,https://swing.appmiweb.com/reservations.html,site_content,unknown,2026-06-20,yes,yes,Swing Digital,confirm_before_ticketing,needs_owner_review,"Politique visible dans la FAQ et à confirmer avant vente."
https://swing.appmiweb.com/reservations.html,FAQ,"La billetterie en ligne sera disponible prochainement ; la billetterie sur place n'est pas prévue.",availability,medium,https://swing.appmiweb.com/reservations.html,site_content,unknown,2026-06-20,yes,yes,Swing Digital,confirm_before_ticketing,needs_owner_review,"Corrige l'ancienne contradiction avec les boutons désactivés."
https://swing.appmiweb.com/espaces-augmentes.html,Réponse directe,"Un espace augmenté est un lieu physique transformé en espace narratif par la réalité mixte, le son, l'image, le jeu d'acteur et l'interaction.",entity_definition,low,https://swing.appmiweb.com/espaces-augmentes.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,review_before_prod,verified_local,"Définition visible ajoutée pour l'extractibilité SEO/GEO."
https://swing.appmiweb.com/espaces-augmentes.html,Tableau de faits,"Les modalités de réservation, d'âge minimum et d'accessibilité dépendent de chaque expérience.",limitation,low,https://swing.appmiweb.com/espaces-augmentes.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,review_before_prod,verified_local,"Limite visible destinée à éviter une promesse trop générale."
https://swing.appmiweb.com/experiences-series.html,Réponse directe,"La rubrique Expériences Séries rassemble les créations et projets immersifs de Swing Digital.",content_scope,low,https://swing.appmiweb.com/experiences-series.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,review_before_prod,verified_local,"Description visible de la page et de son périmètre."
https://swing.appmiweb.com/experience-monroe.html,Réponse directe,"L'Expérience Monroe est un récit immersif consacré à Marilyn Monroe et construit en plusieurs volets complémentaires.",product_description,low,https://swing.appmiweb.com/experience-monroe.html,site_content,unknown,2026-06-20,yes,yes,Swing Digital,review_before_prod,verified_local,"Description visible et cohérente avec la meta description de la page."
https://swing.appmiweb.com/experience-monroe.html,Tableau des volets,"XR Memory Box est présentée comme une expérience de 15 minutes sur le site.",product_fact,medium,https://swing.appmiweb.com/experience-monroe.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,confirm_before_prod,needs_owner_review,"Durée visible à confirmer avant production si le format évolue."
https://swing.appmiweb.com/experience-monroe.html,Tableau des volets,"La série Marilyn est annoncée en 6 x 52 minutes sur le site.",product_fact,medium,https://swing.appmiweb.com/experience-monroe.html,site_content,unknown,2026-06-20,yes,no,Swing Digital,confirm_before_prod,needs_owner_review,"Format visible à confirmer avant production."
