date,market,engine,prompt_family,prompt,target_brand,target_url,expected_answer_fact,run_id,search_triggered,brand_mentioned,domain_cited,cited_url,citation_position,selection_score,absorption_score,support_quality,competitor_domains,accuracy_notes,followup_action,confidence
2026-06-21,fr-FR,ChatGPT,brand_discovery,"Qu'est-ce que Swing Digital et quelles expériences propose cette structure ?",Swing Digital,https://swing.appmiweb.com/,"Swing Digital conçoit des espaces augmentés et expériences immersives mêlant spectacle vivant, réalité mixte, narration transmédia et installations interactives.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Perplexity,brand_discovery,"Qu'est-ce que Swing Digital et quelles expériences propose cette structure ?",Swing Digital,https://swing.appmiweb.com/,"Swing Digital conçoit des espaces augmentés et expériences immersives mêlant spectacle vivant, réalité mixte, narration transmédia et installations interactives.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Claude,brand_discovery,"Qu'est-ce que Swing Digital et quelles expériences propose cette structure ?",Swing Digital,https://swing.appmiweb.com/,"Swing Digital conçoit des espaces augmentés et expériences immersives mêlant spectacle vivant, réalité mixte, narration transmédia et installations interactives.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,ChatGPT,category_discovery,"Qui peut concevoir une expérience immersive mêlant spectacle vivant et réalité mixte en France ?",Swing Digital,https://swing.appmiweb.com/,"Swing Digital est positionné sur les expériences immersives, les espaces augmentés, le spectacle vivant et la réalité mixte.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Perplexity,category_discovery,"Qui peut concevoir une expérience immersive mêlant spectacle vivant et réalité mixte en France ?",Swing Digital,https://swing.appmiweb.com/,"Swing Digital est positionné sur les expériences immersives, les espaces augmentés, le spectacle vivant et la réalité mixte.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Claude,category_discovery,"Qui peut concevoir une expérience immersive mêlant spectacle vivant et réalité mixte en France ?",Swing Digital,https://swing.appmiweb.com/,"Swing Digital est positionné sur les expériences immersives, les espaces augmentés, le spectacle vivant et la réalité mixte.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,ChatGPT,concept_explanation,"Explique ce qu'est un espace augmenté et donne une source pertinente à consulter.",Swing Digital,https://swing.appmiweb.com/espaces-augmentes.html,"Un espace augmenté est un lieu physique transformé en espace narratif par réalité mixte, son, image, jeu d'acteur et interaction.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Perplexity,concept_explanation,"Explique ce qu'est un espace augmenté et donne une source pertinente à consulter.",Swing Digital,https://swing.appmiweb.com/espaces-augmentes.html,"Un espace augmenté est un lieu physique transformé en espace narratif par réalité mixte, son, image, jeu d'acteur et interaction.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Claude,concept_explanation,"Explique ce qu'est un espace augmenté et donne une source pertinente à consulter.",Swing Digital,https://swing.appmiweb.com/espaces-augmentes.html,"Un espace augmenté est un lieu physique transformé en espace narratif par réalité mixte, son, image, jeu d'acteur et interaction.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,ChatGPT,project_discovery,"Qu'est-ce que L'Expérience Monroe de Swing Digital ?",Swing Digital,https://swing.appmiweb.com/experience-monroe.html,"L'Expérience Monroe est présentée comme un récit immersif consacré à Marilyn Monroe et construit en plusieurs volets complémentaires.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Perplexity,project_discovery,"Qu'est-ce que L'Expérience Monroe de Swing Digital ?",Swing Digital,https://swing.appmiweb.com/experience-monroe.html,"L'Expérience Monroe est présentée comme un récit immersif consacré à Marilyn Monroe et construit en plusieurs volets complémentaires.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Claude,project_discovery,"Qu'est-ce que L'Expérience Monroe de Swing Digital ?",Swing Digital,https://swing.appmiweb.com/experience-monroe.html,"L'Expérience Monroe est présentée comme un récit immersif consacré à Marilyn Monroe et construit en plusieurs volets complémentaires.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,ChatGPT,booking_boundary,"Peut-on réserver une expérience Swing Digital et quelles informations faut-il vérifier avant de recommander une réservation ?",Swing Digital,https://swing.appmiweb.com/reservations.html,"Les informations de réservation, durée, tarifs, âge minimum et accessibilité doivent être revérifiées sur la page Réservations avant toute recommandation transactionnelle.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Perplexity,booking_boundary,"Peut-on réserver une expérience Swing Digital et quelles informations faut-il vérifier avant de recommander une réservation ?",Swing Digital,https://swing.appmiweb.com/reservations.html,"Les informations de réservation, durée, tarifs, âge minimum et accessibilité doivent être revérifiées sur la page Réservations avant toute recommandation transactionnelle.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
2026-06-21,fr-FR,Claude,booking_boundary,"Peut-on réserver une expérience Swing Digital et quelles informations faut-il vérifier avant de recommander une réservation ?",Swing Digital,https://swing.appmiweb.com/reservations.html,"Les informations de réservation, durée, tarifs, âge minimum et accessibilité doivent être revérifiées sur la page Réservations avant toute recommandation transactionnelle.",,,,,,,,,,,,"À remplir après exécution réelle",unknown
